date,chess,chess.com,lichess,week,,week,chess_weekly,chess.com_weekly,lichess_weekly
2025-04-06,66,5,11,2025-03-31,,2025-03-31,66,5,11
2025-04-13,64,5,11,2025-04-07,,2025-04-07,64,5,11
2025-04-20,67,6,11,2025-04-14,,2025-04-14,67,6,11
2025-04-27,66,6,11,2025-04-21,,2025-04-21,66,6,11
2025-05-04,62,6,10,2025-04-28,,2025-04-28,62,6,10
2025-05-11,61,6,11,2025-05-05,,2025-05-05,61,6,11
2025-05-18,62,6,11,2025-05-12,,2025-05-12,62,6,11
2025-05-25,70,5,11,2025-05-19,,2025-05-19,70,5,11
2025-06-01,88,6,11,2025-05-26,,2025-05-26,88,6,11
2025-06-08,76,6,11,2025-06-02,,2025-06-02,76,6,11
2025-06-15,70,6,10,2025-06-09,,2025-06-09,70,6,10
2025-06-22,65,6,11,2025-06-16,,2025-06-16,65,6,11
2025-06-29,66,6,10,2025-06-23,,2025-06-23,66,6,10
2025-07-06,65,6,10,2025-06-30,,2025-06-30,65,6,10
2025-07-13,67,5,10,2025-07-07,,2025-07-07,67,5,10
2025-07-20,78,6,11,2025-07-14,,2025-07-14,78,6,11
2025-07-27,76,6,10,2025-07-21,,2025-07-21,76,6,10
2025-08-03,75,6,11,2025-07-28,,2025-07-28,75,6,11
2025-08-10,72,7,11,2025-08-04,,2025-08-04,72,7,11
2025-08-17,72,7,11,2025-08-11,,2025-08-11,72,7,11
2025-08-24,73,6,11,2025-08-18,,2025-08-18,73,6,11
2025-08-31,73,7,10,2025-08-25,,2025-08-25,73,7,10
2025-09-07,72,6,11,2025-09-01,,2025-09-01,72,6,11
2025-09-14,76,6,11,2025-09-08,,2025-09-08,76,6,11
2025-09-21,77,7,11,2025-09-15,,2025-09-15,77,7,11
2025-09-28,85,7,11,2025-09-22,,2025-09-22,85,7,11
2025-10-05,71,7,11,2025-09-29,,2025-09-29,71,7,11
2025-10-12,70,6,11,2025-10-06,,2025-10-06,70,6,11
2025-10-19,77,6,11,2025-10-13,,2025-10-13,77,6,11
2025-10-26,72,6,11,2025-10-20,,2025-10-20,72,6,11
2025-11-02,75,7,11,2025-10-27,,2025-10-27,75,7,11
2025-11-09,81,7,11,2025-11-03,,2025-11-03,81,7,11
2025-11-16,87,7,12,2025-11-10,,2025-11-10,87,7,12
2025-11-23,77,7,11,2025-11-17,,2025-11-17,77,7,11
2025-11-30,73,7,11,2025-11-24,,2025-11-24,73,7,11
2025-12-07,81,7,11,2025-12-01,,2025-12-01,81,7,11
2025-12-14,83,8,12,2025-12-08,,2025-12-08,83,8,12
2025-12-21,81,6,11,2025-12-15,,2025-12-15,81,6,11
2025-12-28,78,6,10,2025-12-22,,2025-12-22,78,6,10
2026-01-04,78,6,10,2025-12-29,,2025-12-29,78,6,10
2026-01-11,80,7,11,2026-01-05,,2026-01-05,80,7,11
2026-01-18,79,7,11,2026-01-12,,2026-01-12,79,7,11
2026-01-25,82,8,13,2026-01-19,,2026-01-19,82,8,13
2026-02-01,90,8,12,2026-01-26,,2026-01-26,90,8,12
2026-02-08,98,7,12,2026-02-02,,2026-02-02,98,7,12
2026-02-15,100,7,12,2026-02-09,,2026-02-09,100,7,12
2026-02-22,89,7,11,2026-02-16,,2026-02-16,89,7,11
2026-03-01,78,7,12,2026-02-23,,2026-02-23,78,7,12
2026-03-08,80,7,12,2026-03-02,,2026-03-02,80,7,12
2026-03-15,79,8,12,2026-03-09,,2026-03-09,79,8,12
2026-03-22,82,8,12,2026-03-16,,2026-03-16,82,8,12
2026-03-29,92,9,14,2026-03-23,,2026-03-23,92,9,14
2026-04-05,88,7,12,2026-03-30,,2026-03-30,88,7,12
